ca_pcgr,ca_ipm,ca_macc,ca_psm,ca_eo,ca_rh,ca_rmi,ca_re,ca_cim,ca_psncc,ca_pa,ca_arat,ca_ipda,ca_mp,ca_ipgm,ca_pe,id
0.0,0.125,0.0,0.553125,0.6666667,0.75,0.8333333,1.0,0.0,0.0,1.0,0.0,0.0,0.2,1.0,0.622297,78
0.8,0.5,0.0,0.478125,0.0,0.75,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.8,0.4558823,0.731874,79
0.8,0.5,0.0,0.6625,0.6666667,0.5,0.8333333,0.6,0.0,0.0,0.0,1.0,1.0,0.6,0.1443662,0.717575,80
0.0,0.125,0.0,0.275,0.3333333,0.0,0.3333333,,0.0,0.0,0.0,1.0,0.3333333,0.2,1.0,0.688581,81
0.4,0.5,0.25,0.24375,0.6666667,0.5,0.5,0.2,0.0,1.0,0.0,1.0,0.6666667,0.0,,0.76453,82
1.0,0.375,0.75,0.35,0.3333333,0.0,0.5,0.2,0.0,1.0,0.0,1.0,0.3333333,0.0,,0.746832,83
0.0,0.625,0.0,0.331875,0.3333333,0.0,0.3333333,0.2,1.0,0.0,0.0,1.0,1.0,0.8,1.0,0.616157,84
0.8,0.25,0.25,0.40625,0.3333333,0.5,0.5,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,0.771137,85
0.0,0.375,0.25,0.2125,0.3333333,0.0,0.1666667,0.2,0.0,0.0,0.0,1.0,0.0,0.2,,0.609868,86
0.4,0.0,0.0,0.169375,0.3333333,0.0,0.3333333,0.2,0.0,0.0,0.0,0.5,0.0,0.0,,0.866837,87
0.4,0.25,0.75,0.3625,0.3333333,0.75,0.8333333,0.2,0.0,1.0,0.0,1.0,1.0,0.8,1.0,0.748626,88
0.6,0.375,0.75,0.35,0.6666667,0.5,0.5,0.2,0.0,1.0,0.0,1.0,0.3333333,0.6,,0.72775,89
0.4,0.5,0.5,0.33125,0.6666667,0.0,0.1666667,0.2,0.0,0.0,1.0,1.0,1.0,0.6,1.0,0.669859,90
0.0,0.125,0.25,0.115625,0.3333333,0.0,0.3333333,0.2,0.0,0.0,0.0,1.0,0.3333333,0.8,,0.57086,91
0.0,0.125,0.0,0.23125,0.3333333,0.25,0.3333333,0.2,0.0,0.0,0.0,1.0,0.6666667,0.0,,0.691969,92
1.0,0.5,0.25,0.24375,0.6666667,0.5,0.8333333,0.2,0.0,1.0,0.0,1.0,1.0,0.0,,0.602256,93
0.4,0.0,0.0,0.2166937,0.6666667,0.25,0.6666667,0.2,0.0,0.0,0.0,1.0,0.3333333,0.0,,0.730556,94
0.4,0.125,0.25,0.1875,0.6666667,0.25,0.3333333,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,0.803325,95
0.6,0.375,0.25,0.2625,0.3333333,0.25,0.0,0.2,0.0,0.0,0.5,1.0,0.0,0.2,,0.74314,96
0.0,0.125,0.0,0.24,0.3333333,0.0,0.3333333,0.2,0.0,0.0,0.0,1.0,0.6666667,0.2,0.5,0.785357,97
0.6,0.125,0.25,0.453125,0.6666667,0.5,0.5,0.2,1.0,0.0,0.0,1.0,0.0,0.0,,0.609012,98
0.2,0.0,0.0,0.24375,0.3333333,0.0,0.3333333,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,0.810025,99
0.8,0.375,0.5,0.340625,0.3333333,0.0,0.5,0.2,0.0,0.0,0.0,1.0,1.0,0.4,0.0309598,0.648677,100
0.2,0.25,0.25,0.453125,0.6666667,0.75,0.3333333,0.2,0.0,1.0,0.0,0.0,0.0,0.0,,0.554331,101
0.8,0.5,0.75,0.425,0.6666667,0.25,0.3333333,0.2,0.0,1.0,0.0,1.0,1.0,0.2,,0.732575,102
1.0,0.375,0.5,0.4125,0.3333333,0.25,0.0,,0.0,0.0,0.0,1.0,0.6666667,0.0,,0.718396,103
0.2,0.125,0.25,0.14375,0.3333333,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.3333333,0.0,,,104
0.4,0.25,0.25,0.375,0.3333333,0.5,0.3333333,0.2,0.0,1.0,0.0,1.0,0.6666667,0.0,,0.736004,105
0.2,0.5,0.5,0.172375,0.3333333,0.5,0.5,0.2,0.0,1.0,0.0,1.0,0.6666667,0.4,,0.64035,106
0.2,0.25,0.0,0.15625,0.6666667,0.25,0.0,0.4,0.0,1.0,0.0,1.0,0.0,0.0,,0.733802,107
0.4,0.125,0.0,0.375,0.3333333,0.0,0.1666667,0.2,0.0,0.0,0.0,1.0,0.6666667,0.0,,0.831658,108
0.8,0.5,0.75,0.4,0.6666667,0.25,1.0,0.2,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.642031,109
0.0,0.125,0.75,0.2425,0.3333333,0.5,0.3333333,0.2,0.0,1.0,0.5,1.0,0.3333333,0.8,,0.733716,110
0.2,0.125,0.0,,0.3333333,0.0,0.1666667,0.2,0.0,0.0,0.0,1.0,0.6666667,0.4,,0.895735,111
0.0,0.25,0.0,0.30625,0.6666667,0.75,0.0,0.2,0.0,1.0,0.5,0.5,0.6666667,0.8,0.5454546,0.730644,112
0.2,0.25,0.25,0.315625,0.3333333,1.0,0.1666667,,0.0,1.0,0.0,1.0,0.6666667,0.0,,0.724682,113
0.2,0.125,0.0,0.253125,0.3333333,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.6,0.347,0.745355,114
0.2,0.125,0.25,0.39875,0.3333333,0.0,0.0,,0.0,1.0,0.0,1.0,0.6666667,0.0,,0.797036,115
0.0,0.125,0.25,0.1375,0.3333333,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,,,116
0.0,0.0,0.0,0.349375,0.3333333,0.0,0.1666667,0.2,0.0,1.0,0.0,1.0,1.0,0.2,,0.730457,117
0.4,0.25,0.25,0.228125,0.6666667,0.25,0.6666667,0.2,1.0,1.0,0.5,1.0,0.6666667,0.0,,0.70998,118
0.0,0.375,0.5,0.365625,0.3333333,0.0,0.1666667,0.2,1.0,1.0,0.0,1.0,1.0,0.0,,0.855862,119
0.4,0.0,0.0,0.2,0.3333333,0.0,0.3333333,0.2,1.0,1.0,1.0,1.0,0.3333333,0.0,,,120
0.0,0.375,0.0,0.49375,0.6666667,0.25,0.3333333,0.2,0.0,0.0,0.0,1.0,0.3333333,1.0,0.5454546,0.757297,121
