antiguedad,elevacion,escasez,falla_in,Falta_in,falta_dren,health,ingreso,ponding,CM,PRECIP,id,dens_pop
18,0.2,0.0625,0.132,0.0311,1.0,0.49875,0.72852,0.135,0.0,903,132,0.21299
18,0.2,1.0,0.133,0.0769,0.074,0.66625,0.93366,0.55125,0.0,881,133,0.17109
33,0.2,1.0,0.269,0.0161,0.074,0.28125,0.93839,0.5,0.0,882,134,0.17835
18,0.1,1.0,0.135,0.0034,0.074,0.7825,0.86907,1.74375,0.0,846,135,0.16939
18,0.1,1.0,0.135,0.0244,1.0,0.38625,0.84066,15.40125,0.000558,848,136,0.46332
18,0.2,0.0625,0.134,0.0019,1.0,0.1875,0.86984,2.4525,0.0,843,137,0.64789
18,0.1,0.0625,0.135,0.0147,0.077,0.4625,0.84921,5.42875,0.001032,841,138,0.2762
33,0.1,0.0625,0.269,0.0124,0.074,0.1375,0.8815,7.03875,0.0,837,139,0.47205
33,0.1,0.0625,0.27,0.003,0.018,0.355,0.72779,5.75125,0.0,831,140,0.40219
64,0.1,0.0625,0.538,0.1032,0.074,0.3175,0.8583,1.48,0.0,836,141,0.55772
64,0.1,0.0625,0.536,0.0217,1.0,0.18,0.85024,5.06,0.0,833,142,0.27726
33,0.1,0.0625,0.266,0.0759,1.0,0.29625,0.86597,7.92875,0.0,829,143,0.65862
33,0.1,0.0625,0.268,0.0394,1.0,0.245,0.85663,7.05375,0.0,827,144,0.55859
33,0.1,0.0625,0.271,0.0138,0.074,0.16,0.84432,7.805,0.002622,824,145,0.54655
64,0.1,0.0625,0.54,0.0106,1.0,0.38375,0.87266,2.5825,0.0,826,146,0.6008
64,0.1,0.0625,0.54,0.0267,0.074,0.2275,0.90385,1.65125,5.6e-05,821,147,0.09974
64,0.1,0.0625,0.54,0.0085,1.0,0.17875,0.79212,3.86625,0.0,826,148,0.38916
64,0.0,0.0625,0.539,0.0147,0.074,0.19,0.87271,1.935,0.0,820,149,0.23877
64,0.1,1.0,0.539,0.0276,0.074,0.2875,0.82039,16.00875,0.0,819,150,0.1778
18,0.3,0.0625,0.133,0.1524,0.074,3.13,0.71277,5.32125,0.0,932,151,0.39317
18,0.3,0.0625,0.137,0.0091,1.0,0.145,0.83338,7.83625,0.00371,901,152,0.29016
18,0.2,0.0625,0.136,0.0174,0.018,0.16125,0.72237,11.395,0.002371,894,153,0.35152
18,0.1,0.0625,0.133,0.0107,0.074,0.58625,0.87234,6.3675,0.0,867,154,0.14664
18,0.1,0.0625,0.136,0.0325,0.079,0.4425,0.83237,3.61375,0.002064,837,155,0.06861
64,0.2,0.0625,0.538,0.0072,0.074,0.05875,0.94185,5.5625,0.0,856,156,0.12813
64,0.1,0.0625,0.54,0.0227,0.074,0.1,0.90814,4.95875,0.0,846,157,0.10399
64,0.1,0.0625,0.541,0.0321,0.074,0.31625,0.88799,4.17125,0.00053,835,158,0.10963
64,0.1,0.0625,0.541,0.0419,0.074,0.22375,0.92578,4.345,0.001618,824,159,0.11143
64,0.0,0.0625,0.54,0.0476,0.018,0.15375,0.89934,2.865,2.8e-05,814,160,0.05934
64,0.0,0.0625,0.541,0.0357,0.074,0.1525,0.94414,0.91875,0.000642,806,161,0.08062
